영단어|한국단어|설명
Factory Shipa|가공선|선내에 수산물 가공설비를 갖추고 어선에서 수획한 어류를 선상에서 가공하는 선박
Malleable Cast Iron|가단주철|백주철을 열처리하여 내부에 함유된 탄소를 제거하여 가단성(Malleability)을 부여한 주철(Cast Iron)을 일컬음
Guard Rail|가드레일|추락이나 위험접근을 방지하는 손잡이 또는 레일
Variable Voltage Welding Machine|가변전압용접기|전류의 증가에 따라 전압이 자동변화하는 형식의 아크용접기
Canopy|가설지|무갑판선에서 풍우를 막기 위하여 설치하는 범포 가리개
Gasoline Engine|가솔린 기관|가솔린과 공기의 혼합가스를 실린더 내에서 전기스파크로 폭발시켜 그 팽창력으로 피스톤을 움직여 회전력을 얻는 동력기관
Gas Brazing|가스 경납땜|가스불꽃으로 가열하여 땜질하는 경납땜
Gas Brazing|가스 브레이징|가스불꽃으로 소재를 가열하는 경납땜
Gas Trial|가스 트라이얼|액화가스운반선이 완성도면 화물의 하역 시스템 작동확인을 위하여 치르는 작동시험
Gas Perging|가스 퍼징|기존 가스의 위험한계를 낮추기 위하여 다른 불활성가스로 치환하는 것
Gas Monitor|가스감시기|실내에 누출된 유해가스의 농도가 위험수준에 달하면 경보를 표시하는 장치
Gas Pressure Welding|가스압접|가스에서 발생하는 불꽃열을 이용하는 압접
Gas Welding|가스용접|가스불꽃의 열을 이용하는 용접법. 보통 산소 아세틸렌용접을 말함
Gas Cutting|가스절단|가스불꽃으로 가열하고 금속과 산소의 급격한 화학반응을 이용하여 절단하는 방법
Gas Turbine|가스터빈|연료연소에서 얻어지는 고온 고압가스로 터빈을 회전시키는 동력기관
Gas Free Fan|가스퍼리 팬|탱크 내의 위험가스를 배출할 때 사용하는 핀
Reversibility|가역성|어떤 하나의 체계가 다른 상태로 바뀌었다가 역으로 원상태로 돌아올 수 있는 성질
Temper Bend Test|가열굽힘시험|일정온도로 가열한 시험편을 굽혀서 그 온도에서의 물성을 관찰하는 시험
Guy Winch|가이 윈치|가이를 풀어주거나 감아당기는 윈치
