영단어,한국단어
(Bulbous)Bow Warning Light,구상선수 주의등
0.50% Sulphur limit,연료유 0.5% 황 함유량 규제
2nd GENERATION INTACT STABLILITY,2세대 비손상 복원성
2010 HNS Protocol,2010년 위험 유해물질의 해상운송에 따른
2010 Manila Amendments,2010 마닐라 개정
2011 Guidelines for the control and management of ship’s biofouling to minimize the transfer of invasive aquatic species,2011 선박 생물오손 관리 지침서
2012 Cape Town Agreement (CTA),2012 케이프타운 협정
3GPP,이동통신 표준화기구
3R,"Reduce(감소),"
A 1,A1 해역
A 2,A2 해역
A 3,A3 해역
A 4,A4 해역
A/C (Anticorrosive) Paint,방청도료
A/F (Antifouling) Paint,방오도료(防汚塗料)
ABOVE BASE LINE,기선 상부
ABS : American Bureau of Shipping,미국선급협회
ABS(American Bureau of Shipping),미국 선급협회
AC ( Alternating Current),교류 전류
AC Arc Welding,교류 아크용접
AC BALANCER,교류 밸런서
AC Balancer,교류 밸런서
AC GENERATOR,교류 발전기 ( 交流發電機 )
AC MOTOR,교류 전동기
AC Motor,교류 전동기
AC SLNGLE SPEED CONTROL,교류 1 단 속도제어
AC generator,교류 발전기 ( 交流發電機 )
ACB(Air Circuit Breaker),기중 차단기
ACC (Automatic Combustion Control),보일러 자동 연소제어 (自動燃燒制御)
ACCEPT WITH COMMENT,주석조건하에 수락
ACCEPTANCE TRIAL,인수 시운전
ACCESS HOLE,억세스홀
ACCOMMODATION,거주구
ACCU(Automatic control system certified for unattended eng. room),기관실 무인화등급 (ABS)
ACCUMULATOR,어큐뮬레이터
ACETYLENE,아세틸렌 가스
ACTIVE PASS FILTER,능동 필터
ACTIVE POWER,유효 전력
ACTIVITY,작업 단위
ACV (Air Cushion Vehicle),공기 부양선(浮揚船)
ADAPTIVE DELTA MODULATION,적응 델타 변조
ADAPTIVE DIFFERENTIAL PULSE CODE,적응 차등 펄스 부호 변조방식
ADB,아시아 개발 은행
"ADJUSTABLE CONDENSER, VARIABLE",가변 콘덴서
ADJUSTABLE INDUCTOR,가변 인덕터
"ADJUSTABLE RESISTOR, VARIABLE RESISTOR",가변 저항기
ADVANCE PAYMENT (BANK),환급보증
ADVANCE PAYMENT (BANK) GUARANTEE,환급보증
AFRAMAX(Average Freight Rate Assessment at the max. of Deadweight) C.O.T,아프라막스 C.O.T (8 만톤급 원유운반선)
AFT DRAFT AT A.P.,선미 홀수
AFT PEAK TANK,선미 피이크 탱크
AFT PERPENDICULAR,선미 수선
AFTWARD,뒤쪽으로
AGENCY FOR INTERNATIONAL DEVELOPMENT,국제개발처
AHU( Air Handling Unit),중앙공기 조화장치
AHWP (Actual Hours of Work Performed),작업 완료분의 실투입 시수
AI (Allocated Item),당용(호선)자재
AI (Artificial Intelligence),인공지능(人工知能)
AIIC,국제회의통역사협회
